,window_size,step_size,kernel_size,pool_size,optimizer,activation,learning_rate,temporal_filters,batch_normalization,n_conv_layers,n_fc_layers,n_neurons_2nd_layer,dropout_rate,val_loss,val_accuracy,date
104,50.0,0.2,9.0,2.0,sgd,relu,0.0002498990545215872,40.0,False,1.0,2.0,0.6,0.0,0.69075887799263,0.5341011345386505,2021-07-13_15-45-35
105,50.0,0.1,3.0,3.0,adam,elu,8.306795081027431e-05,50.0,True,1.0,2.0,0.6,0.6,0.4340695083141327,0.7897173583507537,2021-07-12_22-56-36
106,50.0,0.2,3.0,3.0,adam,elu,0.0008555521140113685,30.0,True,0.0,2.0,0.3,0.6,0.6178624570369721,0.64907186627388,2021-07-12_16-49-52
107,50.0,0.1,7.0,2.0,adam,relu,0.0005050140321048363,30.0,False,1.0,2.0,0.45,0.0,0.19378769099712373,0.9391885697841644,2021-07-13_12-32-25
108,50.0,0.1,5.0,3.0,sgd,relu,1.0933835421212438e-05,50.0,False,0.0,1.0,0.7,0.6,0.6962762832641601,0.5166336566209793,2021-07-13_03-44-10
109,50.0,0.3,5.0,2.0,adam,relu,0.0012989600984717406,30.0,False,1.0,0.0,0.6,0.6,0.9290113031864167,0.7389816105365753,2021-07-13_09-10-27
110,50.0,0.3,3.0,2.0,adam,relu,3.633965086585002e-05,50.0,False,1.0,1.0,0.75,0.0,0.4752249449491501,0.7684346973896027,2021-07-13_04-09-47
111,50.0,0.2,3.0,3.0,adam,elu,0.00013147304856353945,30.0,True,0.0,2.0,0.35,0.6,0.6450949430465698,0.6188113510608673,2021-07-12_16-43-32
112,50.0,0.2,9.0,2.0,sgd,elu,0.00017272840610066197,40.0,False,0.0,2.0,0.65,0.0,0.6809283018112182,0.5655451655387879,2021-07-13_16-33-59
113,50.0,0.2,7.0,2.0,sgd,relu,5.5702719677440224e-05,50.0,True,0.0,1.0,0.65,0.0,0.6378260016441345,0.6247994363307953,2021-07-12_21-10-14
114,50.0,0.2,3.0,3.0,adam,relu,3.808325177102183e-05,40.0,False,1.0,1.0,0.45,0.0,0.4569898247718811,0.7740702748298645,2021-07-13_07-30-13
115,50.0,0.2,9.0,2.0,adam,relu,0.00015691157491231586,40.0,False,1.0,2.0,0.5,0.0,0.4682899326086044,0.8627124845981597,2021-07-13_15-09-22
116,50.0,0.1,9.0,2.0,adam,relu,0.000339589204867065,40.0,False,1.0,2.0,0.6,0.0,0.1254781823605299,0.9600341260433197,2021-07-13_15-58-35
117,50.0,0.3,3.0,3.0,adam,relu,5.526542518117842e-05,40.0,True,1.0,0.0,0.75,0.6,0.5749205648899078,0.6909634232521057,2021-07-12_20-06-52
118,50.0,0.2,7.0,2.0,adam,elu,0.0017475553743068176,20.0,False,1.0,2.0,0.35,0.0,0.911914199590683,0.6176317989826202,2021-07-13_10-45-16
119,50.0,0.2,7.0,2.0,adam,relu,0.001480457341054768,30.0,False,1.0,2.0,0.35,0.0,0.7472907483577729,0.8128931939601898,2021-07-13_12-40-33
120,50.0,0.2,3.0,3.0,adam,relu,0.00017931737996340435,50.0,True,1.0,2.0,0.6,0.6,0.3692422151565552,0.8224223494529724,2021-07-13_01-04-14
121,50.0,0.4,5.0,3.0,adam,relu,1.3249704099672207e-05,40.0,True,1.0,2.0,0.7,0.0,0.5873954176902771,0.6802387773990631,2021-07-12_20-15-08
122,50.0,0.2,5.0,2.0,adam,relu,9.869617927509037e-05,50.0,True,0.0,1.0,0.6,0.0,0.4591733545064926,0.7831125259399414,2021-07-12_22-22-11
123,50.0,0.3,3.0,3.0,adam,elu,0.00032385645168736044,50.0,True,1.0,2.0,0.55,0.6,0.637988293170929,0.6309278547763825,2021-07-12_19-16-53
124,100.0,0.7,3.0,2.0,sgd,relu,2.2168608714542607e-05,40.0,True,0.0,0.0,0.65,0.0,0.7286434292793273,0.48967150449752805,2021-07-12_22-22-45
125,50.0,0.2,3.0,3.0,adam,elu,0.0009528147570882104,30.0,True,0.0,2.0,0.35,0.6,0.6060575067996978,0.6686303317546844,2021-07-12_17-09-27
126,50.0,0.1,3.0,3.0,adam,relu,6.474031917999902e-05,40.0,True,1.0,2.0,0.6,0.6,0.3053028926253319,0.8680757641792297,2021-07-12_19-59-19
127,50.0,0.1,3.0,3.0,adam,relu,1.855678387530836e-05,50.0,False,1.0,1.0,0.7,0.6,0.22335810363292694,0.9036827087402344,2021-07-13_03-24-42
128,100.0,0.3,9.0,2.0,adam,elu,7.812317420314685e-05,40.0,False,0.0,2.0,0.65,0.0,0.6759542882442474,0.6093052446842193,2021-07-13_17-19-22
129,50.0,0.2,7.0,2.0,adam,elu,0.0061566318846526386,30.0,False,1.0,2.0,0.25,0.0,0.7018549680709839,0.5075656920671463,2021-07-13_10-51-01
130,50.0,0.2,5.0,2.0,adam,elu,0.0001553218774742118,20.0,False,1.0,2.0,0.4,0.0,0.49457931220531465,0.7910809993743897,2021-07-13_10-00-53
131,50.0,0.1,3.0,3.0,adam,elu,0.0006817934395347158,50.0,True,1.0,2.0,0.55,0.6,0.4458687216043472,0.828870815038681,2021-07-12_23-23-44
132,50.0,0.1,9.0,2.0,adam,relu,2.754420195254449e-05,40.0,True,0.0,0.0,0.5,0.0,0.5354775220155716,0.7221047163009644,2021-07-12_21-30-14
133,50.0,0.1,3.0,2.0,adam,relu,3.190526478527637e-05,40.0,False,1.0,1.0,0.5,0.0,0.20870237350463866,0.909261804819107,2021-07-13_05-51-23
134,100.0,0.3,5.0,3.0,adam,relu,9.33595134067766e-05,40.0,False,1.0,1.0,0.7,0.6,0.6115074753761292,0.7036606550216675,2021-07-12_20-52-56
135,50.0,0.1,3.0,3.0,adam,relu,1.0116941558482322e-05,20.0,False,0.0,0.0,0.65,0.6,0.6360377311706543,0.6335475385189057,2021-07-13_04-49-59
136,100.0,0.8,7.0,3.0,sgd,relu,2.6469025302323296e-05,40.0,False,1.0,1.0,0.4,0.6,0.6965327858924866,0.5008427679538727,2021-07-12_20-15-37
137,50.0,0.3,7.0,3.0,adam,relu,0.0002340600168023806,20.0,True,1.0,2.0,0.65,0.6,0.6344681143760681,0.6283619403839111,2021-07-12_18-37-39
138,100.0,0.4,3.0,3.0,adam,relu,1.1826377223564097e-05,50.0,False,0.0,1.0,0.65,0.6,0.6761956870555877,0.5707825899124146,2021-07-13_05-06-19
139,50.0,0.1,9.0,2.0,adam,relu,0.0001814940095077311,40.0,False,1.0,2.0,0.55,0.0,0.10638480931520462,0.9630767285823822,2021-07-13_13-41-57
140,50.0,0.5,9.0,2.0,sgd,relu,1.5377119248847584e-05,50.0,False,0.0,1.0,0.45,0.0,0.6973649322986603,0.49685896933078766,2021-07-12_21-49-50
141,50.0,0.2,3.0,3.0,adam,relu,2.3754599243254024e-05,50.0,False,1.0,1.0,0.7,0.6,0.4417416512966156,0.7888119041919708,2021-07-13_04-01-49
142,50.0,0.2,5.0,3.0,adam,relu,6.060036042962342e-05,50.0,False,0.0,1.0,0.7,0.6,0.3839846312999725,0.8214504718780518,2021-07-13_06-05-04
143,100.0,1.0,5.0,3.0,sgd,elu,0.002821641037552718,40.0,True,1.0,1.0,0.7,0.6,0.6967041552066803,0.5888595044612884,2021-07-12_15-37-03
144,50.0,1.0,7.0,2.0,sgd,relu,4.4151655030895564e-05,50.0,True,0.0,0.0,0.75,0.0,0.7276393413543701,0.498778760433197,2021-07-12_20-53-49
145,100.0,0.7,5.0,3.0,adam,relu,2.145425410570268e-05,50.0,False,1.0,1.0,0.65,0.6,0.6920196294784546,0.5227608233690262,2021-07-12_20-07-25
146,50.0,0.1,7.0,2.0,adam,relu,0.0006229700713041637,30.0,False,1.0,2.0,0.45,0.0,0.22368403077125548,0.9355336487293243,2021-07-13_13-18-18
147,50.0,0.6,3.0,3.0,adam,relu,4.2179501776304884e-05,40.0,False,1.0,2.0,0.25,0.0,0.6516636610031128,0.6252854764461517,2021-07-13_08-58-42
148,50.0,0.2,9.0,2.0,adam,elu,6.045606415484224e-05,50.0,False,0.0,2.0,0.6,0.0,0.3139117002487183,0.8840416252613068,2021-07-13_17-55-35
149,50.0,0.4,3.0,2.0,adam,relu,5.838876459731719e-05,40.0,True,1.0,2.0,0.5,0.6,0.6373117566108704,0.639728581905365,2021-07-12_20-20-11
150,50.0,0.2,9.0,2.0,adam,relu,0.00012499173279452907,40.0,False,1.0,2.0,0.55,0.0,0.41736097633838654,0.8783395469188691,2021-07-13_14-35-35
151,50.0,0.2,3.0,3.0,adam,relu,0.004398423929285119,40.0,True,0.0,2.0,0.4,0.0,0.5832887470722199,0.7836048483848572,2021-07-12_20-32-41
152,50.0,0.2,7.0,3.0,adam,relu,1.7143609969223468e-05,10.0,False,1.0,1.0,0.25,0.0,0.6723598361015319,0.5842138469219208,2021-07-13_03-38-34
153,50.0,0.3,3.0,3.0,adam,elu,0.00011914424082478874,40.0,True,1.0,2.0,0.65,0.6,0.649825781583786,0.6137831628322601,2021-07-13_00-05-11
